distributor,distribution_year,distribution_period,region,reporting_year,reporting_period,country,party_type,track_title,track_id,iswc,isrc,show_name,episode_name,use_code,income_type,raw_income_type,general_source,Subscriber,raw_Subscriber,performance_period,survey_type,number_of_plays,licensor_payor,payable_amount,base_amount,bonus_amount,is_adjustment,sales_period,currency,payable_amount_in_foreign_currency,exchange_rate
EBSCO,2021,3,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,MILITARY ONESOURCE,MILITARY ONESOURCE,,,12,,19192,,,N,,USD,,
EBSCO,2021,3,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,FAIRFAX COUNTY SCH DIST,FAIRFAX COUNTY SCH DIST,,,12,,3500,,,N,,USD,,
EBSCO,2021,3,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,HAMILTON TOWNSHIP SCHOOL DISTRICT,HAMILTON TOWNSHIP SCHOOL DISTRICT,,,12,,320,,,N,,USD,,
EBSCO,2021,3,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,ORANGE-ULSTER BOCES SCHOOL LIBRARY SYSTEM,ORANGE-ULSTER BOCES SCHOOL LIBRARY SYSTEM,,,12,,199.6,,,N,,USD,,
EBSCO,2021,3,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,OKLAHOMA CITY PUBLIC SCHOOLS,OKLAHOMA CITY PUBLIC SCHOOLS,,,12,,1280,,,N,,USD,,
EBSCO,2021,3,intl,,,Brazil,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,ESCOLA AMERICANA DE BRASILIA,ESCOLA AMERICANA DE BRASILIA,,,12,,167.6,,,N,,USD,,
EBSCO,2021,4,intl,,,Taiwan,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,NEW TAIPEI CITY LIBRARY,NEW TAIPEI CITY LIBRARY,,,12,,1135.1,,,N,,USD,,
EBSCO,2021,4,intl,,,Canada,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,NORFOLK COUNTY PUBLIC LIBRARY,NORFOLK COUNTY PUBLIC LIBRARY,,,12,,400,,,N,,USD,,
EBSCO,2021,4,intl,,,Anguilla,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,ANGUILLA LIBRARY SERVICES,ANGUILLA LIBRARY SERVICES,,,12,,212,,,N,,USD,,
EBSCO,2021,4,intl,,,Canada,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,ST JOHN'S-RAVENSCOURT SCHOOL,ST JOHN'S-RAVENSCOURT SCHOOL,,,12,,170.8,,,N,,USD,,
EBSCO,2021,4,intl,,,Puerto Rico,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,WESLEYAN ACADEMY OF PUERTO RICO,WESLEYAN ACADEMY OF PUERTO RICO,,,12,,166.4,,,N,,USD,,
EBSCO,2021,4,intl,,,Brazil,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,ESCOLA PAN AMERICANA DA BAHIA,ESCOLA PAN AMERICANA DA BAHIA,,,12,,161.6,,,N,,USD,,
EBSCO,2022,2,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,NORTH CAROLINA DEPARTMENT OF PUBLIC INSTRUCTION - NCWISEOWL,NORTH CAROLINA DEPARTMENT OF PUBLIC INSTRUCTION - NCWISEOWL,,,12,,4000,,,N,,USD,,
EBSCO,2022,2,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,SANTA CLARA PUEBLO COMMUNITY LIBRARY,SANTA CLARA PUEBLO COMMUNITY LIBRARY,,,12,,318,,,N,,USD,,
EBSCO,2022,2,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,MISBO PURCHASING CONSORTIUM,MISBO PURCHASING CONSORTIUM,,,12,,205.2,,,N,,USD,,
EBSCO,2022,2,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,NORTH OF BOSTON LIBRARY EXCHANGE INC,NORTH OF BOSTON LIBRARY EXCHANGE INC,,,12,,200,,,N,,USD,,
EBSCO,2022,2,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,RAILS,RAILS,,,12,,600,,,N,,USD,,
EBSCO,2022,2,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,EDUCATIONAL TESTING SERVICE,EDUCATIONAL TESTING SERVICE,,,12,,469.6,,,N,,USD,,
EBSCO,2022,3,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,ORANGE-ULSTER BOCES SCHOOL LIBRARY SYSTEM,ORANGE-ULSTER BOCES SCHOOL LIBRARY SYSTEM,,,12,,199.6,,,N,,USD,,
EBSCO,2022,3,intl,,,Taiwan,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,DAYUAN INTERNATIONAL SENIOR HIGH SCHOOL,DAYUAN INTERNATIONAL SENIOR HIGH SCHOOL,,,12,,38.22,,,N,,USD,,
EBSCO,2022,3,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,MILITARY ONESOURCE,MILITARY ONESOURCE,,,12,,19378,,,N,,USD,,
EBSCO,2022,3,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,FAIRFAX COUNTY SCHOOL DISTRICT,FAIRFAX COUNTY SCHOOL DISTRICT,,,12,,3500,,,N,,USD,,
EBSCO,2022,3,intl,,,Brazil,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,ESCOLA CONCEPT SP,ESCOLA CONCEPT SP,,,12,,200,,,N,,USD,,
EBSCO,2022,3,intl,,,Canada,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,ST JOHN'S-RAVENSCOURT SCHOOL,ST JOHN'S-RAVENSCOURT SCHOOL,,,12,,174.22,,,N,,USD,,
EBSCO,2022,3,intl,,,Brazil,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,ESCOLA AMERICANA DE BRASILIA,ESCOLA AMERICANA DE BRASILIA,,,12,,167.6,,,N,,USD,,
EBSCO,2022,4,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,MESQUITE INDEPENDENT SCHOOL DISTRICT,MESQUITE INDEPENDENT SCHOOL DISTRICT,,,9,,959.6,,,N,,USD,,
EBSCO,2022,4,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,NORTH CAROLINA DEPARTMENT OF PUBLIC INSTRUCTION,NORTH CAROLINA DEPARTMENT OF PUBLIC INSTRUCTION,,,12,,-4000,,,N,,USD,,
EBSCO,2022,4,intl,,,Taiwan,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,NEW TAIPEI CITY LIBRARY,NEW TAIPEI CITY LIBRARY,,,12,,1068.77,,,N,,USD,,
EBSCO,2022,4,intl,,,Canada,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,NORFOLK COUNTY PUBLIC LIBRARY,NORFOLK COUNTY PUBLIC LIBRARY,,,12,,295.92,,,N,,USD,,
EBSCO,2022,4,intl,,,Anguilla,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,ANGUILLA LIBRARY SERVICES,ANGUILLA LIBRARY SERVICES,,,12,,212,,,N,,USD,,
EBSCO,2022,4,intl,,,Puerto Rico,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,WESLEYAN ACADEMY OF PUERTO RICO,WESLEYAN ACADEMY OF PUERTO RICO,,,12,,174.4,,,N,,USD,,
EBSCO,2022,4,intl,,,Brazil,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,ESCOLA PAN AMERICANA DA BAHIA,ESCOLA PAN AMERICANA DA BAHIA,,,12,,161.6,,,N,,USD,,
EBSCO,2022,4,intl,,,Canada,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,ST JOHN'S-RAVENSCOURT SCHOOL,ST JOHN'S-RAVENSCOURT SCHOOL,,,12,,-47.35,,,N,,USD,,
EBSCO,2023,1,intl,,,China,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,WUXI DIPONT SCHOOL OF ARTS AND SCIENCE,WUXI DIPONT SCHOOL OF ARTS AND SCIENCE,,,12,,220,,,N,,USD,,
EBSCO,2023,1,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,NORTH CAROLINA DEPARTMENT OF PUBLIC INSTRUCTION,NORTH CAROLINA DEPARTMENT OF PUBLIC INSTRUCTION,,,12,,4000,,,N,,USD,,
EBSCO,2023,2,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,RAILS,RAILS,,,12,,1400,,,N,,USD,,
EBSCO,2023,2,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,EDUCATIONAL TESTING SERVICE,EDUCATIONAL TESTING SERVICE,,,12,,479.2,,,N,,USD,,
EBSCO,2023,2,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,SANTA CLARA PUEBLO COMMUNITY LIBRARY,SANTA CLARA PUEBLO COMMUNITY LIBRARY,,,12,,333.6,,,N,,USD,,
EBSCO,2023,2,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,MISBO PURCHASING CONSORTIUM,MISBO PURCHASING CONSORTIUM,,,12,,211.2,,,N,,USD,,
EBSCO,2023,3,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,PA DEPARTMENT OF EDUCATION,PA DEPARTMENT OF EDUCATION,,,11,,7333.6,,,N,,USD,,
EBSCO,2023,3,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,DOD MWR LIBRARIES,DOD MWR LIBRARIES,,,12,,20206,,,N,,USD,,
EBSCO,2023,3,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,NORTH CAROLINA DEPARTMENT OF PUBLIC INSTRUCTION,NORTH CAROLINA DEPARTMENT OF PUBLIC INSTRUCTION,,,12,,4040,,,N,,USD,,
EBSCO,2023,3,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,FAIRFAX COUNTY SCHOOL DISTRICT,FAIRFAX COUNTY SCHOOL DISTRICT,,,12,,3500,,,N,,USD,,
EBSCO,2023,3,intl,,,Canada,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,ST JOHN'S-RAVENSCOURT SCHOOL,ST JOHN'S-RAVENSCOURT SCHOOL,,,12,,133.29,,,N,,USD,,
EBSCO,2023,3,intl,,,Taiwan,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,DAYUAN INTERNATIONAL SENIOR HIGH SCHOOL,DAYUAN INTERNATIONAL SENIOR HIGH SCHOOL,,,12,,37.23,,,N,,USD,,
EBSCO,2023,4,intl,,,Taiwan,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,DEPARTMENT OF EDUCATION TAIPEI CITY GOVERNMENT,DEPARTMENT OF EDUCATION TAIPEI CITY GOVERNMENT,,,12,,1274.33,,,N,,USD,,
EBSCO,2023,4,intl,,,Taiwan,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,NEW TAIPEI CITY LIBRARY,NEW TAIPEI CITY LIBRARY,,,12,,1087.14,,,N,,USD,,
EBSCO,2023,4,intl,,,Canada,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,NORFOLK COUNTY PUBLIC LIBRARY,NORFOLK COUNTY PUBLIC LIBRARY,,,12,,301.77,,,N,,USD,,
EBSCO,2023,4,intl,,,Anguilla,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,ANGUILLA LIBRARY SERVICES,ANGUILLA LIBRARY SERVICES,,,12,,216.4,,,N,,USD,,
EBSCO,2023,4,intl,,,Puerto Rico,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,WESLEYAN ACADEMY OF PUERTO RICO,WESLEYAN ACADEMY OF PUERTO RICO,,,12,,182.8,,,N,,USD,,
EBSCO,2023,4,intl,,,Brazil,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,ESCOLA AMERICANA DE BRASILIA,ESCOLA AMERICANA DE BRASILIA,,,12,,172.63,,,N,,USD,,
EBSCO,2023,4,intl,,,Brazil,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,ESCOLA PAN AMERICANA DA BAHIA,ESCOLA PAN AMERICANA DA BAHIA,,,12,,166.45,,,N,,USD,,
EBSCO,2024,2,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,ILLINOIS STATE LIBRARY,ILLINOIS STATE LIBRARY,,,12,,10286.4,,,N,,USD,,
EBSCO,2024,2,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,CORONADO PUBLIC LIBRARY,CORONADO PUBLIC LIBRARY,,,14,,450,,,N,,USD,,
EBSCO,2024,2,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,MISSISSIPPI LIBRARY COMMISSION,MISSISSIPPI LIBRARY COMMISSION,,,12,,400,,,N,,USD,,
EBSCO,2024,2,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,New eBook Subscription Royalties,New,OTHER,NORTH BRUNSWICK FREE PUBLIC LIBRARY,NORTH BRUNSWICK FREE PUBLIC LIBRARY,,,12,,266.4,,,N,,USD,,
EBSCO,2024,2,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,NORTH CAROLINA DEPARTMENT OF PUBLIC INSTRUCTION,NORTH CAROLINA DEPARTMENT OF PUBLIC INSTRUCTION,,,12,,4080.4,,,N,,USD,,
EBSCO,2024,2,domestic,,,United States,,eBook Subscription Cricket Media Collection,EBKCKTMCO,,,,,OTHER,Renewed eBook Subscription Royalties,Renew,OTHER,FAIRFAX COUNTY SCHOOL DISTRICT,FAIRFAX COUNTY SCHOOL DISTRICT,,,12,,3500,,,N,,USD,,
